NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GTF2F2	203	36.53285217285156	0.48850244	Yes	
row_1	POLR2B	287	35.643306732177734	0.97511953	Yes	
row_2	SUPT4H1	2729	0.0	0.76276636	No	
row_3	SUPT5H	2730	0.0	0.76276636	No	
row_4	CTDP1	5277	0.0	0.5412787	No	
row_5	GTF2F1	6879	0.0	0.40200078	No	
row_6	NCBP1	8905	0.0	0.22583725	No	
row_7	NCBP2	8906	0.0	0.22583725	No	
row_8	NELFA	8993	0.0	0.21835573	No	
row_9	NELFB	8994	0.0	0.21835573	No	
row_10	NELFCD	8995	0.0	0.21835573	No	
row_11	NELFE	8997	0.0	0.21826874	No	
row_12	POLR2A	9924	0.0	0.13771197	No	
row_13	POLR2C	9925	0.0	0.13771197	No	
row_14	POLR2D	9927	0.0	0.13762498	No	
row_15	POLR2E	9928	0.0	0.13762498	No	
row_16	POLR2F	9929	0.0	0.13762498	No	
row_17	POLR2G	9930	0.0	0.13762498	No	
row_18	POLR2H	9931	0.0	0.13762498	No	
row_19	POLR2I	9932	0.0	0.13762498	No	
row_20	POLR2J	9933	0.0	0.13762498	No	
row_21	POLR2K	9935	0.0	0.13753799	No	
row_22	POLR2L	9937	0.0	0.137451	No	
