NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYCS	169	36.86845016479492	0.4882314	Yes	
row_1	APIP	211	36.439491271972656	0.9817408	Yes	
row_2	UACA	3597	0.0	0.6874185	No	
row_3	XIAP	4020	0.0	0.6507261	No	
row_4	C1QBP	4414	0.0	0.61655515	No	
row_5	CARD8	4577	0.0	0.60246944	No	
row_6	CASP3	4599	0.0	0.6006435	No	
row_7	CASP7	4602	0.0	0.6004696	No	
row_8	CASP9	4605	0.0	0.6002957	No	
row_9	DIABLO	5556	0.0	0.5176942	No	
row_10	GSDMD	6854	0.0	0.40492138	No	
row_11	APAF1	7584	0.0	0.3415356	No	
row_12	MAPK1	8289	0.0	0.28032354	No	
row_13	MAPK3	8296	0.0	0.27980182	No	
row_14	AVEN	10686	0.0	0.07208076	No	
row_15	BAK1	11204	0.0	0.027128153	No	
row_16	BAX	11277	0.0	0.020867826	No	
