NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGFR2	180	36.77259063720703	0.2419675	Yes	
row_1	GTF2F2	203	36.53285217285156	0.49600524	Yes	
row_2	POLR2B	287	35.643306732177734	0.73850226	Yes	
row_3	HNRNPA1	482	33.784305572509766	0.95831525	Yes	
row_4	TIA1	3009	0.0	0.73849106	No	
row_5	TIAL1	3010	0.0	0.73849106	No	
row_6	ESRP1	6008	0.0	0.4776782	No	
row_7	ESRP2	6010	0.0	0.4775912	No	
row_8	GTF2F1	6879	0.0	0.4020538	No	
row_9	HNRNPF	7076	0.0	0.38499698	No	
row_10	HNRNPH1	7078	0.0	0.38490996	No	
row_11	HNRNPM	7085	0.0	0.38438782	No	
row_12	NCBP1	8905	0.0	0.22609001	No	
row_13	NCBP2	8906	0.0	0.22609001	No	
row_14	POLR2A	9924	0.0	0.13758597	No	
row_15	POLR2C	9925	0.0	0.13758597	No	
row_16	POLR2D	9927	0.0	0.13749894	No	
row_17	POLR2E	9928	0.0	0.13749894	No	
row_18	POLR2F	9929	0.0	0.13749894	No	
row_19	POLR2G	9930	0.0	0.13749894	No	
row_20	POLR2H	9931	0.0	0.13749894	No	
row_21	POLR2I	9932	0.0	0.13749894	No	
row_22	POLR2J	9933	0.0	0.13749894	No	
row_23	POLR2K	9935	0.0	0.13741192	No	
row_24	POLR2L	9937	0.0	0.1373249	No	
row_25	PTBP1	10183	0.0	0.116003856	No	
row_26	RBFOX2	10454	0.0	0.092507206	No	
