NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2D1	30	40.72328186035156	0.53409475	Yes	
row_1	TYK2	346	35.15334701538086	0.9699947	Yes	
row_2	STAT1	2638	0.0	0.7707427	No	
row_3	STAT3	2640	0.0	0.77065575	No	
row_4	STAT5A	2641	0.0	0.77065575	No	
row_5	STAT5B	2642	0.0	0.77065575	No	
row_6	SYK	2759	0.0	0.760567	No	
row_7	UBA52	3601	0.0	0.6874239	No	
row_8	UBB	3612	0.0	0.68655413	No	
row_9	UBC	3613	0.0	0.68655413	No	
row_10	UBE2D2	3618	0.0	0.6862063	No	
row_11	UBE2D3	3619	0.0	0.6862063	No	
row_12	CUL5	5315	0.0	0.53878933	No	
row_13	JAK1	7446	0.0	0.35353974	No	
row_14	JAK2	7447	0.0	0.35353974	No	
row_15	LYN	8185	0.0	0.28944162	No	
row_16	RNF7	10627	0.0	0.07714383	No	
row_17	RPS27A	10733	0.0	0.06801181	No	
row_18	SOCS1	11490	0.0	0.002261248	No	
row_19	SOCS3	11491	0.0	0.002261248	No	
