NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP160	267	35.82843017578125	0.9767482	Yes	
row_1	TPR	3364	0.0	0.7071323	No	
row_2	XPO1	4027	0.0	0.64948183	No	
row_3	AAAS	4991	0.0	0.5656187	No	
row_4	NUP62	7284	0.0	0.3660193	No	
row_5	KPNB1	7685	0.0	0.3311852	No	
row_6	NDC1	8929	0.0	0.22293822	No	
row_7	NPM1	9158	0.0	0.20308279	No	
row_8	NUP107	9261	0.0	0.19420008	No	
row_9	NUP133	9262	0.0	0.19420008	No	
row_10	NUP153	9264	0.0	0.194113	No	
row_11	NUP155	9265	0.0	0.194113	No	
row_12	NUP188	9266	0.0	0.194113	No	
row_13	NUP205	9267	0.0	0.194113	No	
row_14	NUP210	9268	0.0	0.194113	No	
row_15	NUP214	9269	0.0	0.194113	No	
row_16	NUP35	9270	0.0	0.194113	No	
row_17	NUP37	9271	0.0	0.194113	No	
row_18	NUP43	9272	0.0	0.194113	No	
row_19	NUP50	9274	0.0	0.19402592	No	
row_20	NUP54	9276	0.0	0.19393884	No	
row_21	NUP85	9278	0.0	0.19385175	No	
row_22	NUP88	9279	0.0	0.19385175	No	
row_23	NUP93	9280	0.0	0.19385175	No	
row_24	NUP98	9281	0.0	0.19385175	No	
row_25	POM121	9947	0.0	0.13594005	No	
row_26	POM121C	9948	0.0	0.13594005	No	
row_27	RAE1	10374	0.0	0.09892882	No	
row_28	RAN	10391	0.0	0.097535454	No	
row_29	RANBP1	10392	0.0	0.097535454	No	
row_30	RANBP2	10395	0.0	0.09736128	No	
row_31	RANGAP1	10399	0.0	0.09710003	No	
row_32	RCC1	10497	0.0	0.08865275	No	
row_33	SEC13	10949	0.0	0.0493773	No	
row_34	SEH1L	10972	0.0	0.047461428	No	
