NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGFR2	180	36.77259063720703	0.32186976	Yes	
row_1	GTF2F2	203	36.53285217285156	0.6552782	Yes	
row_2	POLR2B	287	35.643306732177734	0.97521746	Yes	
row_3	FGF2	6378	0.0	0.44565225	No	
row_4	GTF2F1	6879	0.0	0.402174	No	
row_5	NCBP1	8905	0.0	0.22608703	No	
row_6	NCBP2	8906	0.0	0.22608703	No	
row_7	POLR2A	9924	0.0	0.13765226	No	
row_8	POLR2C	9925	0.0	0.13765226	No	
row_9	POLR2D	9927	0.0	0.1375653	No	
row_10	POLR2E	9928	0.0	0.1375653	No	
row_11	POLR2F	9929	0.0	0.1375653	No	
row_12	POLR2G	9930	0.0	0.1375653	No	
row_13	POLR2H	9931	0.0	0.1375653	No	
row_14	POLR2I	9932	0.0	0.1375653	No	
row_15	POLR2J	9933	0.0	0.1375653	No	
row_16	POLR2K	9935	0.0	0.13747835	No	
row_17	POLR2L	9937	0.0	0.13739139	No	
