NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GEMIN7	218	36.37520217895508	0.32294652	Yes	
row_1	NUP160	267	35.82843017578125	0.6555781	Yes	
row_2	SNRPB	438	34.169795989990234	0.96197784	Yes	
row_3	TGS1	2976	0.0	0.7407343	No	
row_4	TPR	3364	0.0	0.70698524	No	
row_5	WDR77	3966	0.0	0.654574	No	
row_6	AAAS	4991	0.0	0.56527424	No	
row_7	CLNS1A	5055	0.0	0.55978024	No	
row_8	DDX20	5453	0.0	0.5251591	No	
row_9	GEMIN2	6637	0.0	0.42199352	No	
row_10	GEMIN4	6638	0.0	0.42199352	No	
row_11	GEMIN5	6639	0.0	0.42199352	No	
row_12	GEMIN6	6640	0.0	0.42199352	No	
row_13	GEMIN8	6641	0.0	0.42199352	No	
row_14	NUP62	7284	0.0	0.3660068	No	
row_15	NCBP1	8905	0.0	0.22473183	No	
row_16	NCBP2	8906	0.0	0.22473183	No	
row_17	NDC1	8929	0.0	0.22281328	No	
row_18	NUP107	9261	0.0	0.19394784	No	
row_19	NUP133	9262	0.0	0.19394784	No	
row_20	NUP153	9264	0.0	0.19386064	No	
row_21	NUP155	9265	0.0	0.19386064	No	
row_22	NUP188	9266	0.0	0.19386064	No	
row_23	NUP205	9267	0.0	0.19386064	No	
row_24	NUP210	9268	0.0	0.19386064	No	
row_25	NUP214	9269	0.0	0.19386064	No	
row_26	NUP35	9270	0.0	0.19386064	No	
row_27	NUP37	9271	0.0	0.19386064	No	
row_28	NUP43	9272	0.0	0.19386064	No	
row_29	NUP50	9274	0.0	0.19377342	No	
row_30	NUP54	9276	0.0	0.19368622	No	
row_31	NUP85	9278	0.0	0.19359902	No	
row_32	NUP88	9279	0.0	0.19359902	No	
row_33	NUP93	9280	0.0	0.19359902	No	
row_34	NUP98	9281	0.0	0.19359902	No	
row_35	PHAX	9663	0.0	0.16037323	No	
row_36	POM121	9947	0.0	0.13569371	No	
row_37	POM121C	9948	0.0	0.13569371	No	
row_38	PRMT5	10074	0.0	0.124792874	No	
row_39	RAE1	10374	0.0	0.09871805	No	
row_40	RANBP2	10395	0.0	0.09697391	No	
row_41	SEC13	10949	0.0	0.048748568	No	
row_42	SEH1L	10972	0.0	0.04683002	No	
row_43	SMN2	11379	0.0	0.011424072	No	
row_44	SNRPD1	11458	0.0	0.0046219444	No	
row_45	SNRPD2	11459	0.0	0.0046219444	No	
row_46	SNRPD3	11460	0.0	0.0046219444	No	
row_47	SNRPE	11461	0.0	0.0046219444	No	
row_48	SNRPF	11462	0.0	0.0046219444	No	
row_49	SNRPG	11463	0.0	0.0046219444	No	
row_50	SNUPN	11467	0.0	0.004360324	No	
