NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	Details ...	45	0.97507185	1.2040356	0.0	0.10454963	0.102	287	tags=4%, list=2%, signal=5%	
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	Details ...	42	0.9751655	1.2034998	0.0	0.057756584	0.111	287	tags=7%, list=2%, signal=7%	
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	Details ...	35	0.9767482	1.200649	0.0	0.06307463	0.176	267	tags=3%, list=2%, signal=3%	
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	Details ...	34	0.9768374	1.1986827	0.0	0.058018044	0.209	267	tags=6%, list=2%, signal=6%	
REACTOME_SIALIC_ACID_METABOLISM	REACTOME_SIALIC_ACID_METABOLISM	Details ...	20	0.9930423	1.196391	0.0	0.062351152	0.273	80	tags=5%, list=1%, signal=5%	
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	Details ...	32	0.9767543	1.195619	0.002002002	0.05627616	0.292	267	tags=3%, list=2%, signal=3%	
REACTOME_SNRNP_ASSEMBLY	REACTOME_SNRNP_ASSEMBLY	Details ...	51	0.96197784	1.1938072	0.0	0.058910817	0.343	438	tags=6%, list=4%, signal=6%	
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	Details ...	31	0.97675633	1.1923714	0.0	0.059640236	0.384	267	tags=3%, list=2%, signal=3%	
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	Details ...	28	0.9767624	1.1901842	0.0	0.067395136	0.456	267	tags=4%, list=2%, signal=4%	
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	Details ...	29	0.971538	1.1862136	0.0	0.08983814	0.584	327	tags=3%, list=3%, signal=4%	
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	Details ...	23	0.97511953	1.1771916	0.002008032	0.15773062	0.821	287	tags=9%, list=2%, signal=9%	
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	Details ...	18	0.98556525	1.175953	0.007070707	0.15620641	0.841	166	tags=6%, list=1%, signal=6%	
REACTOME_SIGNALING_BY_CSF3_G_CSF	REACTOME_SIGNALING_BY_CSF3_G_CSF	Details ...	24	0.9699843	1.1728365	0.004008016	0.17161874	0.889	346	tags=8%, list=3%, signal=9%	
