NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK7	327	35.28596115112305	0.9715578	Yes	
row_1	VRK3	3886	0.0	0.6620858	No	
row_2	DUSP3	5725	0.0	0.50221795	No	
row_3	DUSP4	5726	0.0	0.50221795	No	
row_4	DUSP6	5728	0.0	0.502131	No	
row_5	DUSP7	5729	0.0	0.502131	No	
row_6	ELK1	5863	0.0	0.49056274	No	
row_7	MAPK1	8289	0.0	0.27963817	No	
row_8	MAPK11	8290	0.0	0.27963817	No	
row_9	MAPK14	8294	0.0	0.27937722	No	
row_10	MAPK3	8296	0.0	0.27929023	No	
row_11	MEF2A	8405	0.0	0.26989648	No	
row_12	PPP2CA	9995	0.0	0.13168652	No	
row_13	PPP2CB	9996	0.0	0.13168652	No	
row_14	PPP2R1A	9997	0.0	0.13168652	No	
row_15	PPP2R1B	9998	0.0	0.13168652	No	
row_16	PPP2R5D	10004	0.0	0.13125162	No	
row_17	RPS6KA1	10744	0.0	0.066973984	No	
row_18	RPS6KA2	10746	0.0	0.066887006	No	
row_19	RPS6KA3	10747	0.0	0.066887006	No	
row_20	RPS6KA5	10749	0.0	0.06680003	No	
