NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHUK	176	36.80311584472656	0.9846983	Yes	
row_1	TNIP2	3300	0.0	0.7131803	No	
row_2	UBA52	3601	0.0	0.6870979	No	
row_3	UBB	3612	0.0	0.6862285	No	
row_4	UBC	3613	0.0	0.6862285	No	
row_5	BTRC	3895	0.0	0.66179794	No	
row_6	CUL1	5310	0.0	0.5388628	No	
row_7	FBXW11	6342	0.0	0.44922623	No	
row_8	IKBKB	7265	0.0	0.36906627	No	
row_9	IKBKG	7268	0.0	0.36889237	No	
row_10	MAP2K1	8254	0.0	0.2832551	No	
row_11	MAP2K4	8257	0.0	0.2830812	No	
row_12	MAP3K8	8277	0.0	0.28142932	No	
row_13	NFKB1	9026	0.0	0.21639717	No	
row_14	RPS27A	10733	0.0	0.068075135	No	
row_15	SKP1	11156	0.0	0.031385865	No	
