NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK7	327	35.28596115112305	0.971538	Yes	
row_1	VRK3	3886	0.0	0.66185045	No	
row_2	CREB1	5213	0.0	0.5464357	No	
row_3	DUSP3	5725	0.0	0.5019584	No	
row_4	DUSP4	5726	0.0	0.5019584	No	
row_5	DUSP6	5728	0.0	0.50187135	No	
row_6	DUSP7	5729	0.0	0.50187135	No	
row_7	ELK1	5863	0.0	0.49029505	No	
row_8	FOS	6451	0.0	0.4392027	No	
row_9	JUN	7469	0.0	0.35068324	No	
row_10	MAPK1	8289	0.0	0.27939767	No	
row_11	MAPK11	8290	0.0	0.27939767	No	
row_12	MAPK14	8294	0.0	0.27913657	No	
row_13	MAPK3	8296	0.0	0.27904952	No	
row_14	MAPK8	8298	0.0	0.2789625	No	
row_15	MAPK9	8300	0.0	0.27887544	No	
row_16	MAPKAPK2	8302	0.0	0.2787884	No	
row_17	MEF2A	8405	0.0	0.26991034	No	
row_18	ATF1	9701	0.0	0.15719382	No	
row_19	ATF2	9708	0.0	0.15667158	No	
row_20	PPP2CA	9995	0.0	0.13177821	No	
row_21	PPP2CB	9996	0.0	0.13177821	No	
row_22	PPP2R1A	9997	0.0	0.13177821	No	
row_23	PPP2R1B	9998	0.0	0.13177821	No	
row_24	PPP2R5D	10004	0.0	0.13134302	No	
row_25	RPS6KA1	10744	0.0	0.06702062	No	
row_26	RPS6KA2	10746	0.0	0.06693358	No	
row_27	RPS6KA3	10747	0.0	0.06693358	No	
row_28	RPS6KA5	10749	0.0	0.06684654	No	
