NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IARS2	166	36.92372512817383	0.98556525	Yes	
row_1	TARS2	2832	0.0	0.7538261	No	
row_2	VARS2	3825	0.0	0.6675652	No	
row_3	WARS2	3900	0.0	0.6611304	No	
row_4	YARS2	4053	0.0	0.64791304	No	
row_5	AARS2	4397	0.0	0.618087	No	
row_6	CARS2	4584	0.0	0.60191303	No	
row_7	DARS2	5383	0.0	0.5325217	No	
row_8	EARS2	5758	0.0	0.5	No	
row_9	FARS2	6277	0.0	0.45495653	No	
row_10	HARS2	6946	0.0	0.39686957	No	
row_11	LARS2	7747	0.0	0.32730436	No	
row_12	MARS2	8314	0.0	0.278087	No	
row_13	NARS2	8880	0.0	0.22895655	No	
row_14	PARS2	9446	0.0	0.17982611	No	
row_15	PPA2	9963	0.0	0.13495655	No	
row_16	RARS2	10419	0.0	0.09539133	No	
row_17	SARS2	10862	0.0	0.05695655	No	
