NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NANS	80	38.39754104614258	0.9930423	Yes	
row_1	ST3GAL1	2611	0.0	0.773004	No	
row_2	ST3GAL2	2612	0.0	0.773004	No	
row_3	ST3GAL3	2614	0.0	0.77291703	No	
row_4	ST3GAL4	2615	0.0	0.77291703	No	
row_5	ST3GAL5	2617	0.0	0.77283007	No	
row_6	ST6GAL1	2619	0.0	0.7727431	No	
row_7	ST6GALNAC1	2620	0.0	0.7727431	No	
row_8	ST6GALNAC4	2621	0.0	0.7727431	No	
row_9	ST6GALNAC6	2622	0.0	0.7727431	No	
row_10	CMAS	5071	0.0	0.5598365	No	
row_11	CTSA	5296	0.0	0.54035485	No	
row_12	GLB1	6687	0.0	0.41946426	No	
row_13	GNE	6739	0.0	0.41502872	No	
row_14	NANP	8866	0.0	0.23012699	No	
row_15	NEU1	9008	0.0	0.21786399	No	
row_16	NEU3	9009	0.0	0.21786399	No	
row_17	NPL	9156	0.0	0.20516613	No	
row_18	SLC17A5	11181	0.0	0.029135516	No	
row_19	SLC35A1	11234	0.0	0.024612991	No	
