NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2D1	30	40.72328186035156	0.53409386	Yes	
row_1	TYK2	346	35.15334701538086	0.9699843	Yes	
row_2	STAT1	2638	0.0	0.7706629	No	
row_3	STAT3	2640	0.0	0.77057594	No	
row_4	STAT5A	2641	0.0	0.77057594	No	
row_5	STAT5B	2642	0.0	0.77057594	No	
row_6	SYK	2759	0.0	0.7604837	No	
row_7	UBA52	3601	0.0	0.6873151	No	
row_8	UBB	3612	0.0	0.68644506	No	
row_9	UBC	3613	0.0	0.68644506	No	
row_10	UBE2D2	3618	0.0	0.6860971	No	
row_11	UBE2D3	3619	0.0	0.6860971	No	
row_12	CUL5	5315	0.0	0.5386288	No	
row_13	GRB2	6832	0.0	0.40673393	No	
row_14	JAK1	7446	0.0	0.35340175	No	
row_15	JAK2	7447	0.0	0.35340175	No	
row_16	KRAS	7687	0.0	0.33260828	No	
row_17	LYN	8185	0.0	0.28936833	No	
row_18	PTPN11	10213	0.0	0.11301546	No	
row_19	RNF7	10627	0.0	0.07708367	No	
row_20	RPS27A	10733	0.0	0.06794847	No	
row_21	SHC1	11104	0.0	0.035757758	No	
row_22	SOCS1	11490	0.0	0.0022620214	No	
row_23	SOCS3	11491	0.0	0.0022620214	No	
