NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP160	267	35.82843017578125	0.478023	Yes	
row_1	POLR2B	287	35.643306732177734	0.97507185	Yes	
row_2	TNRC6A	3313	0.0	0.7114093	No	
row_3	TPR	3364	0.0	0.7070512	No	
row_4	AAAS	4991	0.0	0.56532717	No	
row_5	AGO1	5400	0.0	0.5297654	No	
row_6	AGO2	5410	0.0	0.528981	No	
row_7	NUP62	7284	0.0	0.36572814	No	
row_8	IPO8	7360	0.0	0.35919103	No	
row_9	NDC1	8929	0.0	0.22252233	No	
row_10	NUP107	9261	0.0	0.19367199	No	
row_11	NUP133	9262	0.0	0.19367199	No	
row_12	NUP153	9264	0.0	0.19358483	No	
row_13	NUP155	9265	0.0	0.19358483	No	
row_14	NUP188	9266	0.0	0.19358483	No	
row_15	NUP205	9267	0.0	0.19358483	No	
row_16	NUP210	9268	0.0	0.19358483	No	
row_17	NUP214	9269	0.0	0.19358483	No	
row_18	NUP35	9270	0.0	0.19358483	No	
row_19	NUP37	9271	0.0	0.19358483	No	
row_20	NUP43	9272	0.0	0.19358483	No	
row_21	NUP50	9274	0.0	0.19349767	No	
row_22	NUP54	9276	0.0	0.19341052	No	
row_23	NUP85	9278	0.0	0.19332334	No	
row_24	NUP88	9279	0.0	0.19332334	No	
row_25	NUP93	9280	0.0	0.19332334	No	
row_26	NUP98	9281	0.0	0.19332334	No	
row_27	POLR2A	9924	0.0	0.13736588	No	
row_28	POLR2C	9925	0.0	0.13736588	No	
row_29	POLR2D	9927	0.0	0.13727872	No	
row_30	POLR2E	9928	0.0	0.13727872	No	
row_31	POLR2F	9929	0.0	0.13727872	No	
row_32	POLR2G	9930	0.0	0.13727872	No	
row_33	POLR2H	9931	0.0	0.13727872	No	
row_34	POLR2I	9932	0.0	0.13727872	No	
row_35	POLR2J	9933	0.0	0.13727872	No	
row_36	POLR2K	9935	0.0	0.13719156	No	
row_37	POLR2L	9937	0.0	0.13710439	No	
row_38	POM121	9947	0.0	0.13631995	No	
row_39	POM121C	9948	0.0	0.13631995	No	
row_40	RAE1	10374	0.0	0.09927645	No	
row_41	RAN	10391	0.0	0.097881876	No	
row_42	RANBP2	10395	0.0	0.09762039	No	
row_43	SEC13	10949	0.0	0.049420267	No	
row_44	SEH1L	10972	0.0	0.047502723	No	
