NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	Details ...	45	0.97507185	1.205618	0.001	0.11056438	0.109	287	tags=4%, list=2%, signal=5%	
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	Details ...	42	0.9751655	1.2040442	0.0	0.06374977	0.125	287	tags=7%, list=2%, signal=7%	
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	Details ...	35	0.9767482	1.2011408	0.0	0.05942928	0.171	267	tags=3%, list=2%, signal=3%	
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	Details ...	34	0.9768374	1.2004731	0.001	0.049302075	0.188	267	tags=6%, list=2%, signal=6%	
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	Details ...	32	0.9767543	1.1967593	0.002	0.061958723	0.269	267	tags=3%, list=2%, signal=3%	
REACTOME_SIALIC_ACID_METABOLISM	REACTOME_SIALIC_ACID_METABOLISM	Details ...	20	0.9930423	1.19425	0.001004016	0.06523814	0.328	80	tags=5%, list=1%, signal=5%	
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	Details ...	31	0.97675633	1.19372	0.001	0.058903534	0.343	267	tags=3%, list=2%, signal=3%	
REACTOME_SNRNP_ASSEMBLY	REACTOME_SNRNP_ASSEMBLY	Details ...	51	0.96197784	1.192856	0.0	0.05701736	0.37	438	tags=6%, list=4%, signal=6%	
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	Details ...	28	0.9767624	1.1908844	0.0	0.06052924	0.421	267	tags=4%, list=2%, signal=4%	
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	Details ...	29	0.971538	1.1866368	0.001001001	0.081966184	0.551	327	tags=3%, list=3%, signal=4%	
