NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP160	267	35.82843017578125	0.9767604	Yes	
row_1	TPR	3364	0.0	0.7072852	No	
row_2	XPO1	4027	0.0	0.6496649	No	
row_3	AAAS	4991	0.0	0.5658456	No	
row_4	HSPA1A	7148	0.0	0.37818784	No	
row_5	NUP62	7284	0.0	0.36643746	No	
row_6	NDC1	8929	0.0	0.22334406	No	
row_7	NUP107	9261	0.0	0.1945339	No	
row_8	NUP133	9262	0.0	0.1945339	No	
row_9	NUP153	9264	0.0	0.19444686	No	
row_10	NUP155	9265	0.0	0.19444686	No	
row_11	NUP188	9266	0.0	0.19444686	No	
row_12	NUP205	9267	0.0	0.19444686	No	
row_13	NUP210	9268	0.0	0.19444686	No	
row_14	NUP214	9269	0.0	0.19444686	No	
row_15	NUP35	9270	0.0	0.19444686	No	
row_16	NUP37	9271	0.0	0.19444686	No	
row_17	NUP43	9272	0.0	0.19444686	No	
row_18	NUP50	9274	0.0	0.19435981	No	
row_19	NUP54	9276	0.0	0.19427277	No	
row_20	NUP85	9278	0.0	0.19418573	No	
row_21	NUP88	9279	0.0	0.19418573	No	
row_22	NUP93	9280	0.0	0.19418573	No	
row_23	POM121	9947	0.0	0.13621724	No	
row_24	POM121C	9948	0.0	0.13621724	No	
row_25	RAE1	10374	0.0	0.099225335	No	
row_26	RAN	10391	0.0	0.0978327	No	
row_27	RANBP2	10395	0.0	0.09757158	No	
row_28	SEC13	10949	0.0	0.049438585	No	
