NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGFR2	180	36.77259063720703	0.24193881	Yes	
row_1	GTF2F2	203	36.53285217285156	0.49597308	Yes	
row_2	POLR2B	287	35.643306732177734	0.73845685	Yes	
row_3	HNRNPA1	482	33.784305572509766	0.9582389	Yes	
row_4	SPRED1	2520	0.0	0.7806452	No	
row_5	SPRED2	2521	0.0	0.7806452	No	
row_6	TIA1	3009	0.0	0.7381866	No	
row_7	TIAL1	3010	0.0	0.7381866	No	
row_8	CBL	4613	0.0	0.5985179	No	
row_9	CEP57	4898	0.0	0.57375765	No	
row_10	ESRP1	6008	0.0	0.47707066	No	
row_11	ESRP2	6010	0.0	0.4769835	No	
row_12	FGF2	6378	0.0	0.44498697	No	
row_13	FGFBP1	6379	0.0	0.44498697	No	
row_14	FGFR1	6380	0.0	0.44498697	No	
row_15	FGFR4	6383	0.0	0.4448126	No	
row_16	FIBP	6392	0.0	0.44411513	No	
row_17	FRS2	6490	0.0	0.43565828	No	
row_18	FRS3	6491	0.0	0.43565828	No	
row_19	GALNT3	6571	0.0	0.42877075	No	
row_20	GRB2	6832	0.0	0.40610293	No	
row_21	GTF2F1	6879	0.0	0.40209246	No	
row_22	HNRNPF	7076	0.0	0.3850044	No	
row_23	HNRNPH1	7078	0.0	0.38491723	No	
row_24	HNRNPM	7085	0.0	0.3843941	No	
row_25	KIF16B	7602	0.0	0.3394072	No	
row_26	MAPK1	8289	0.0	0.279599	No	
row_27	MAPK3	8296	0.0	0.2790759	No	
row_28	NCBP1	8905	0.0	0.22606805	No	
row_29	NCBP2	8906	0.0	0.22606805	No	
row_30	POLR2A	9924	0.0	0.13740195	No	
row_31	POLR2C	9925	0.0	0.13740195	No	
row_32	POLR2D	9927	0.0	0.13731478	No	
row_33	POLR2E	9928	0.0	0.13731478	No	
row_34	POLR2F	9929	0.0	0.13731478	No	
row_35	POLR2G	9930	0.0	0.13731478	No	
row_36	POLR2H	9931	0.0	0.13731478	No	
row_37	POLR2I	9932	0.0	0.13731478	No	
row_38	POLR2J	9933	0.0	0.13731478	No	
row_39	POLR2K	9935	0.0	0.1372276	No	
row_40	POLR2L	9937	0.0	0.13714041	No	
row_41	PTBP1	10183	0.0	0.11578034	No	
row_42	PTPN11	10213	0.0	0.11325201	No	
row_43	RAB14	10294	0.0	0.10627729	No	
row_44	RBFOX2	10454	0.0	0.092415035	No	
row_45	SETX	11038	0.0	0.04158679	No	
row_46	SHCBP1	11106	0.0	0.035745464	No	
row_47	SHOC2	11115	0.0	0.035047993	No	
