NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP160	267	35.82843017578125	0.9767523	Yes	
row_1	TPR	3364	0.0	0.7071833	No	
row_2	XPO1	4027	0.0	0.64954287	No	
row_3	AAAS	4991	0.0	0.5656944	No	
row_4	NUP62	7284	0.0	0.36612976	No	
row_5	KPNB1	7685	0.0	0.33130172	No	
row_6	NDC1	8929	0.0	0.22307359	No	
row_7	NPM1	9158	0.0	0.2032216	No	
row_8	NUP107	9261	0.0	0.19434047	No	
row_9	NUP133	9262	0.0	0.19434047	No	
row_10	NUP153	9264	0.0	0.19425339	No	
row_11	NUP155	9265	0.0	0.19425339	No	
row_12	NUP188	9266	0.0	0.19425339	No	
row_13	NUP205	9267	0.0	0.19425339	No	
row_14	NUP210	9268	0.0	0.19425339	No	
row_15	NUP214	9269	0.0	0.19425339	No	
row_16	NUP35	9270	0.0	0.19425339	No	
row_17	NUP37	9271	0.0	0.19425339	No	
row_18	NUP43	9272	0.0	0.19425339	No	
row_19	NUP50	9274	0.0	0.19416632	No	
row_20	NUP54	9276	0.0	0.19407925	No	
row_21	NUP85	9278	0.0	0.19399218	No	
row_22	NUP88	9279	0.0	0.19399218	No	
row_23	NUP93	9280	0.0	0.19399218	No	
row_24	POM121	9947	0.0	0.1360035	No	
row_25	POM121C	9948	0.0	0.1360035	No	
row_26	RAE1	10374	0.0	0.09899871	No	
row_27	RAN	10391	0.0	0.09760559	No	
row_28	RANBP1	10392	0.0	0.09760559	No	
row_29	RANBP2	10395	0.0	0.09743145	No	
row_30	RANGAP1	10399	0.0	0.09717024	No	
row_31	RCC1	10497	0.0	0.08872444	No	
row_32	SEC13	10949	0.0	0.049455833	No	
