NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUF2	76	38.53253173828125	0.49596235	Yes	
row_1	MUS81	88	38.13775634765625	0.9924308	Yes	
row_2	TOP2A	3325	0.0	0.7108926	No	
row_3	TOP2B	3326	0.0	0.7108926	No	
row_4	TRIP13	3430	0.0	0.7019314	No	
row_5	BUB1	3904	0.0	0.66077954	No	
row_6	BUB1B	3915	0.0	0.65990955	No	
row_7	CCNB1IP1	4701	0.0	0.591613	No	
row_8	CENPC	4866	0.0	0.5773447	No	
row_9	EME1	5894	0.0	0.48799375	No	
row_10	EME2	5896	0.0	0.48790672	No	
row_11	ERCC4	5972	0.0	0.4813816	No	
row_12	ESPL1	6006	0.0	0.47851053	No	
row_13	FANCD2	6266	0.0	0.45597702	No	
row_14	FANCM	6271	0.0	0.45562902	No	
row_15	CORT	7714	0.0	0.33017227	No	
row_16	M1AP	8203	0.0	0.28771532	No	
row_17	P3H4	9391	0.0	0.18444405	No	
row_18	PTTG1	10237	0.0	0.11092744	No	
row_19	RAD21	10358	0.0	0.10048721	No	
row_20	RMI1	10552	0.0	0.083695844	No	
row_21	SIRT7	11143	0.0	0.032364715	No	
row_22	BAG6	11153	0.0	0.031581696	No	
row_23	SLX4	11331	0.0	0.016182357	No	
