NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP160	267	35.82843017578125	0.97675836	Yes	
row_1	TPR	3364	0.0	0.7072598	No	
row_2	AAAS	4991	0.0	0.56572074	No	
row_3	NUP62	7284	0.0	0.36620823	No	
row_4	KPNB1	7685	0.0	0.33138928	No	
row_5	NDC1	8929	0.0	0.22318943	No	
row_6	NPM1	9158	0.0	0.20334263	No	
row_7	NUP107	9261	0.0	0.1944638	No	
row_8	NUP133	9262	0.0	0.1944638	No	
row_9	NUP153	9264	0.0	0.19437675	No	
row_10	NUP155	9265	0.0	0.19437675	No	
row_11	NUP188	9266	0.0	0.19437675	No	
row_12	NUP205	9267	0.0	0.19437675	No	
row_13	NUP210	9268	0.0	0.19437675	No	
row_14	NUP214	9269	0.0	0.19437675	No	
row_15	NUP35	9270	0.0	0.19437675	No	
row_16	NUP37	9271	0.0	0.19437675	No	
row_17	NUP43	9272	0.0	0.19437675	No	
row_18	NUP50	9274	0.0	0.19428971	No	
row_19	NUP54	9276	0.0	0.19420266	No	
row_20	NUP85	9278	0.0	0.19411561	No	
row_21	NUP88	9279	0.0	0.19411561	No	
row_22	NUP93	9280	0.0	0.19411561	No	
row_23	POM121	9947	0.0	0.13614208	No	
row_24	POM121C	9948	0.0	0.13614208	No	
row_25	RAE1	10374	0.0	0.099146955	No	
row_26	RAN	10391	0.0	0.097754195	No	
row_27	RANBP2	10395	0.0	0.09749305	No	
row_28	RCC1	10497	0.0	0.08870127	No	
row_29	SEC13	10949	0.0	0.049442913	No	
