NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLUD1	138	37.232295989990234	0.9879969	Yes	
row_1	STX4	2700	0.0	0.7652431	No	
row_2	TCF7L2	2901	0.0	0.74784726	No	
row_3	TM7SF3	3068	0.0	0.7334087	No	
row_4	TRPM4	3456	0.0	0.69974774	No	
row_5	C2CD2L	4434	0.0	0.61476904	No	
row_6	ACSL4	4478	0.0	0.61102897	No	
row_7	CAPN10	4561	0.0	0.6038967	No	
row_8	AACS	5772	0.0	0.4986518	No	
row_9	HLA-DRB1	7034	0.0	0.38897103	No	
row_10	ANO1	7110	0.0	0.3824476	No	
row_11	IRS2	7391	0.0	0.3580934	No	
row_12	LRRC8A	8129	0.0	0.29398972	No	
row_13	MCU	8375	0.0	0.27267984	No	
row_14	NLGN2	9084	0.0	0.21109854	No	
row_15	PLA2G6	9784	0.0	0.15030007	No	
row_16	PPP3CB	10007	0.0	0.13099068	No	
row_17	PSMD9	10167	0.0	0.11716099	No	
row_18	RBP4	10486	0.0	0.0895016	No	
row_19	BAD	11052	0.0	0.040358342	No	
row_20	SOX4	11513	0.0	3.479057E-4	No	
