NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDX3	295	35.568084716796875	0.31323108	Yes	
row_1	CYB5R4	306	35.52976989746094	0.6509445	Yes	
row_2	NDUFA13	476	33.8381233215332	0.95867485	Yes	
row_3	SPR	2519	0.0	0.7806452	No	
row_4	BNIP3	3291	0.0	0.71342635	No	
row_5	ACOX1	4368	0.0	0.61961645	No	
row_6	CAT	4606	0.0	0.59895384	No	
row_7	CCS	4719	0.0	0.58918923	No	
row_8	CYB5B	5346	0.0	0.53461206	No	
row_9	CYB5R3	5350	0.0	0.5343505	No	
row_10	CYBA	5352	0.0	0.5342633	No	
row_11	CYP1B1	5358	0.0	0.5338274	No	
row_12	DDAH2	5432	0.0	0.52746296	No	
row_13	AKT1	5982	0.0	0.47959897	No	
row_14	GBF1	6609	0.0	0.42502183	No	
row_15	GCH1	6618	0.0	0.42432436	No	
row_16	GCHFR	6620	0.0	0.42423716	No	
row_17	GPX1	6821	0.0	0.4068004	No	
row_18	GPX3	6823	0.0	0.4067132	No	
row_19	IFI6	7215	0.0	0.37262428	No	
row_20	ARG2	8179	0.0	0.2886661	No	
row_21	MAOB	8247	0.0	0.28282478	No	
row_22	NCF2	8910	0.0	0.22510901	No	
row_23	NDUFS1	8968	0.0	0.22013952	No	
row_24	NDUFS3	8969	0.0	0.22013952	No	
row_25	NDUFS4	8970	0.0	0.22013952	No	
row_26	NNT	9106	0.0	0.20836969	No	
row_27	NOS3	9132	0.0	0.2061901	No	
row_28	NOX5	9139	0.0	0.20566699	No	
row_29	NOXA1	9141	0.0	0.2055798	No	
row_30	NQO1	9162	0.0	0.20383613	No	
row_31	NRROS	9195	0.0	0.20104623	No	
row_32	PARK7	9431	0.0	0.18055801	No	
row_33	PDGFB	9575	0.0	0.1680907	No	
row_34	PDK4	9586	0.0	0.16721886	No	
row_35	PLA2R1	9785	0.0	0.14995643	No	
row_36	PMAIP1	9863	0.0	0.14324327	No	
row_37	PRDX1	10036	0.0	0.12824763	No	
row_38	PRDX2	10037	0.0	0.12824763	No	
row_39	PRDX5	10039	0.0	0.12816045	No	
row_40	ATP7A	10467	0.0	0.0909329	No	
row_41	SESN1	11028	0.0	0.04210988	No	
row_42	SESN2	11029	0.0	0.04210988	No	
row_43	SH3PXD2A	11092	0.0	0.036704473	No	
row_44	SH3PXD2B	11094	0.0	0.03661729	No	
row_45	SOD1	11496	0.0	0.0016565223	No	
row_46	SOD2	11497	0.0	0.0016565223	No	
row_47	SOD3	11498	0.0	0.0016565223	No	
