NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP160	267	35.82843017578125	0.97675633	Yes	
row_1	TPR	3364	0.0	0.70723426	No	
row_2	XPO1	4027	0.0	0.6496039	No	
row_3	AAAS	4991	0.0	0.56577	No	
row_4	NUP62	7284	0.0	0.36624008	No	
row_5	NDC1	8929	0.0	0.22312178	No	
row_6	NUP107	9261	0.0	0.19430658	No	
row_7	NUP133	9262	0.0	0.19430658	No	
row_8	NUP153	9264	0.0	0.19421953	No	
row_9	NUP155	9265	0.0	0.19421953	No	
row_10	NUP188	9266	0.0	0.19421953	No	
row_11	NUP205	9267	0.0	0.19421953	No	
row_12	NUP210	9268	0.0	0.19421953	No	
row_13	NUP214	9269	0.0	0.19421953	No	
row_14	NUP35	9270	0.0	0.19421953	No	
row_15	NUP37	9271	0.0	0.19421953	No	
row_16	NUP43	9272	0.0	0.19421953	No	
row_17	NUP50	9274	0.0	0.19413248	No	
row_18	NUP54	9276	0.0	0.19404542	No	
row_19	NUP85	9278	0.0	0.19395837	No	
row_20	NUP88	9279	0.0	0.19395837	No	
row_21	NUP93	9280	0.0	0.19395837	No	
row_22	POM121	9947	0.0	0.13597979	No	
row_23	POM121C	9948	0.0	0.13597979	No	
row_24	RAE1	10374	0.0	0.09898143	No	
row_25	RAN	10391	0.0	0.097588554	No	
row_26	RANBP1	10392	0.0	0.097588554	No	
row_27	RANBP2	10395	0.0	0.09741445	No	
row_28	RANGAP1	10399	0.0	0.09715328	No	
row_29	RCC1	10497	0.0	0.08870895	No	
row_30	SEC13	10949	0.0	0.04944718	No	
