NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GEMIN7	218	36.37520217895508	0.32294983	Yes	
row_1	NUP160	267	35.82843017578125	0.65558213	Yes	
row_2	SNRPB	438	34.169795989990234	0.96198446	Yes	
row_3	TGS1	2976	0.0	0.74077946	No	
row_4	TPR	3364	0.0	0.7070364	No	
row_5	WDR77	3966	0.0	0.65463424	No	
row_6	AAAS	4991	0.0	0.56535006	No	
row_7	CLNS1A	5055	0.0	0.559857	No	
row_8	DDX20	5453	0.0	0.525242	No	
row_9	GEMIN2	6637	0.0	0.42209432	No	
row_10	GEMIN4	6638	0.0	0.42209432	No	
row_11	GEMIN5	6639	0.0	0.42209432	No	
row_12	GEMIN6	6640	0.0	0.42209432	No	
row_13	GEMIN8	6641	0.0	0.42209432	No	
row_14	NUP62	7284	0.0	0.36611736	No	
row_15	NCBP1	8905	0.0	0.22486702	No	
row_16	NCBP2	8906	0.0	0.22486702	No	
row_17	NDC1	8929	0.0	0.2229488	No	
row_18	NUP107	9261	0.0	0.1940884	No	
row_19	NUP133	9262	0.0	0.1940884	No	
row_20	NUP153	9264	0.0	0.1940012	No	
row_21	NUP155	9265	0.0	0.1940012	No	
row_22	NUP188	9266	0.0	0.1940012	No	
row_23	NUP205	9267	0.0	0.1940012	No	
row_24	NUP210	9268	0.0	0.1940012	No	
row_25	NUP214	9269	0.0	0.1940012	No	
row_26	NUP35	9270	0.0	0.1940012	No	
row_27	NUP37	9271	0.0	0.1940012	No	
row_28	NUP43	9272	0.0	0.1940012	No	
row_29	NUP50	9274	0.0	0.19391401	No	
row_30	NUP54	9276	0.0	0.19382682	No	
row_31	NUP85	9278	0.0	0.19373962	No	
row_32	NUP88	9279	0.0	0.19373962	No	
row_33	NUP93	9280	0.0	0.19373962	No	
row_34	PHAX	9663	0.0	0.16043246	No	
row_35	POM121	9947	0.0	0.13575724	No	
row_36	POM121C	9948	0.0	0.13575724	No	
row_37	PRMT5	10074	0.0	0.1248583	No	
row_38	RAE1	10374	0.0	0.098788016	No	
row_39	RANBP2	10395	0.0	0.097044185	No	
row_40	SEC13	10949	0.0	0.048827253	No	
row_41	SMN2	11379	0.0	0.011422073	No	
row_42	SNRPD1	11458	0.0	0.004621131	No	
row_43	SNRPD2	11459	0.0	0.004621131	No	
row_44	SNRPD3	11460	0.0	0.004621131	No	
row_45	SNRPE	11461	0.0	0.004621131	No	
row_46	SNRPF	11462	0.0	0.004621131	No	
row_47	SNRPG	11463	0.0	0.004621131	No	
row_48	SNUPN	11467	0.0	0.0043595564	No	
