NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DVL1	175	36.80732727050781	0.98477465	Yes	
row_1	BDNF	2721	0.0	0.7633548	No	
row_2	ZDHHC12	4177	0.0	0.636767	No	
row_3	CDH1	4796	0.0	0.5829998	No	
row_4	CDK5	4821	0.0	0.58091176	No	
row_5	DBNL	5392	0.0	0.5313207	No	
row_6	FARP1	6276	0.0	0.454498	No	
row_7	FBXO45	6333	0.0	0.44962588	No	
row_8	FZD1	6533	0.0	0.43231252	No	
row_9	FZD5	6537	0.0	0.4320515	No	
row_10	NLGN2	9084	0.0	0.21054463	No	
row_11	OBSL1	9305	0.0	0.19140421	No	
row_12	PCDHB16	9495	0.0	0.17496085	No	
row_13	PCDHB2	9496	0.0	0.17496085	No	
row_14	PCDHB6	9497	0.0	0.17496085	No	
row_15	PLXNB1	9858	0.0	0.14364016	No	
row_16	PLXNB2	9859	0.0	0.14364016	No	
row_17	PLXND1	9862	0.0	0.14346616	No	
row_18	POU4F1	9960	0.0	0.13502698	No	
row_19	PTEN	10190	0.0	0.115103535	No	
row_20	RAB29	10313	0.0	0.1044893	No	
row_21	RYK	10820	0.0	0.06046633	No	
row_22	SDK1	10942	0.0	0.0499391	No	
row_23	SHANK2	11102	0.0	0.036105797	No	
