NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GTF2F2	203	36.53285217285156	0.32056674	Yes	
row_1	NUP160	267	35.82843017578125	0.64680856	Yes	
row_2	POLR2B	287	35.643306732177734	0.97516984	Yes	
row_3	TPR	3364	0.0	0.7071789	No	
row_4	AAAS	4991	0.0	0.5655166	No	
row_5	GTF2F1	6879	0.0	0.40111515	No	
row_6	NUP62	7284	0.0	0.36591735	No	
row_7	NDC1	8929	0.0	0.22268684	No	
row_8	NUP107	9261	0.0	0.19384907	No	
row_9	NUP133	9262	0.0	0.19384907	No	
row_10	NUP153	9264	0.0	0.19376194	No	
row_11	NUP155	9265	0.0	0.19376194	No	
row_12	NUP188	9266	0.0	0.19376194	No	
row_13	NUP205	9267	0.0	0.19376194	No	
row_14	NUP210	9268	0.0	0.19376194	No	
row_15	NUP214	9269	0.0	0.19376194	No	
row_16	NUP35	9270	0.0	0.19376194	No	
row_17	NUP37	9271	0.0	0.19376194	No	
row_18	NUP43	9272	0.0	0.19376194	No	
row_19	NUP50	9274	0.0	0.19367482	No	
row_20	NUP54	9276	0.0	0.19358769	No	
row_21	NUP85	9278	0.0	0.19350058	No	
row_22	NUP88	9279	0.0	0.19350058	No	
row_23	NUP93	9280	0.0	0.19350058	No	
row_24	POLR2A	9924	0.0	0.13748036	No	
row_25	POLR2C	9925	0.0	0.13748036	No	
row_26	POLR2D	9927	0.0	0.13739324	No	
row_27	POLR2E	9928	0.0	0.13739324	No	
row_28	POLR2F	9929	0.0	0.13739324	No	
row_29	POLR2G	9930	0.0	0.13739324	No	
row_30	POLR2H	9931	0.0	0.13739324	No	
row_31	POLR2I	9932	0.0	0.13739324	No	
row_32	POLR2J	9933	0.0	0.13739324	No	
row_33	POLR2K	9935	0.0	0.13730612	No	
row_34	POLR2L	9937	0.0	0.137219	No	
row_35	POM121	9947	0.0	0.13643488	No	
row_36	POM121C	9948	0.0	0.13643488	No	
row_37	RAE1	10374	0.0	0.09940753	No	
row_38	RANBP2	10395	0.0	0.097665064	No	
row_39	SEC13	10949	0.0	0.04948594	No	
