NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TRANSCRIPTIONAL REGULATION BY SMALL RNAS%REACTOME%R-HSA-5578749.3	TRANSCRIPTIONAL REGULATION BY SMALL RNAS%REACTOME%R-HSA-5578749.3	Details ...	43	0.97507614	1.2037934	0.001	0.7842577	0.544	287	tags=5%, list=2%, signal=5%	
VIRAL MESSENGER RNA SYNTHESIS%REACTOME DATABASE ID RELEASE 75%168325	VIRAL MESSENGER RNA SYNTHESIS%REACTOME DATABASE ID RELEASE 75%168325	Details ...	40	0.97516984	1.202654	0.0	0.45391214	0.586	287	tags=8%, list=2%, signal=8%	
MEIOTIC CHROMOSOME SEGREGATION%GOBP%GO:0045132	MEIOTIC CHROMOSOME SEGREGATION%GOBP%GO:0045132	Details ...	24	0.9924308	1.2015098	0.002004008	0.3497748	0.642	88	tags=8%, list=1%, signal=8%	
INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME DATABASE ID RELEASE 75%177243	INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME DATABASE ID RELEASE 75%177243	Details ...	33	0.9767523	1.1954037	0.002	0.51343733	0.878	267	tags=3%, list=2%, signal=3%	
SIALIC ACID METABOLISM%REACTOME%R-HSA-4085001.2	SIALIC ACID METABOLISM%REACTOME%R-HSA-4085001.2	Details ...	20	0.9930423	1.19485	0.0020181634	0.43406698	0.888	80	tags=5%, list=1%, signal=5%	
EXPORT OF VIRAL RIBONUCLEOPROTEINS FROM NUCLEUS%REACTOME DATABASE ID RELEASE 75%168274	EXPORT OF VIRAL RIBONUCLEOPROTEINS FROM NUCLEUS%REACTOME DATABASE ID RELEASE 75%168274	Details ...	29	0.9767604	1.1941522	0.0	0.3864699	0.901	267	tags=3%, list=2%, signal=4%	
TRANSPORT OF THE SLBP DEPENDANT MATURE MRNA%REACTOME DATABASE ID RELEASE 75%159230	TRANSPORT OF THE SLBP DEPENDANT MATURE MRNA%REACTOME DATABASE ID RELEASE 75%159230	Details ...	32	0.9768414	1.1938945	0.0	0.34108156	0.909	267	tags=6%, list=2%, signal=6%	
NON-CODING RNA METABOLISM%REACTOME%R-HSA-194441.1	NON-CODING RNA METABOLISM%REACTOME%R-HSA-194441.1	Details ...	49	0.96198446	1.1930953	0.0	0.32335797	0.931	438	tags=6%, list=4%, signal=6%	
TRANSPORT OF THE SLBP INDEPENDENT MATURE MRNA%REACTOME%R-HSA-159227.2	TRANSPORT OF THE SLBP INDEPENDENT MATURE MRNA%REACTOME%R-HSA-159227.2	Details ...	31	0.9768434	1.1925166	0.001002004	0.30337328	0.943	267	tags=6%, list=2%, signal=7%	
POSITIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0032024	POSITIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0032024	Details ...	21	0.9879969	1.1919862	0.0020140987	0.28768507	0.952	138	tags=5%, list=1%, signal=5%	
