EnrichmentMap::Expression,gene name,log score,name,node type,query term,score,shared name
0,NUP50,-0.459320565,H__sapiens__1_-774733,query,NUP50,0.631712708,H__sapiens__1_-774733
0,NUP205,-0.386445878,H__sapiens__1_-782635,query,NUP205,0.679467498,H__sapiens__1_-782635
0,RANBP2,-0.694470582,H__sapiens__1_-782386,query,RANBP2,0.499338737,H__sapiens__1_-782386
0,TPR,-0.451391939,H__sapiens__1_-773361,query,TPR,0.636741229,H__sapiens__1_-773361
0,POM121,-0.320207243,H__sapiens__1_-789815,query,POM121,0.725998563,H__sapiens__1_-789815
0,NUP88,-0.413343906,H__sapiens__1_-776294,query,NUP88,0.661434772,H__sapiens__1_-776294
0,NUP188,-0.469492818,H__sapiens__1_-774764,query,NUP188,0.625319338,H__sapiens__1_-774764
0,NUP133,-0.497192025,H__sapiens__1_-773810,query,NUP133,0.608236176,H__sapiens__1_-773810
0,RAE1,-0.502590829,H__sapiens__1_-775191,query,RAE1,0.604961276,H__sapiens__1_-775191
35.82839966,NUP160,-0.460975928,H__sapiens__1_-773223,query,NUP160,0.630667859,H__sapiens__1_-773223
0,NUP155,-0.466967601,H__sapiens__1_-776946,query,NUP155,0.626900401,H__sapiens__1_-776946
0,NUP54,-0.427483725,H__sapiens__1_-780479,query,NUP54,0.652148016,H__sapiens__1_-780479
0,NUP153,-0.511620175,H__sapiens__1_-778335,query,NUP153,0.599523458,H__sapiens__1_-778335
0,NUP214,-0.514861207,H__sapiens__1_-778618,query,NUP214,0.59758353,H__sapiens__1_-778618
0,SEC13,-0.56458765,H__sapiens__1_-782804,query,SEC13,0.568594558,H__sapiens__1_-782804
0,NDC1,-0.113462321,H__sapiens__1_-773535,query,NDC1,0.892737833,H__sapiens__1_-773535
0,NUP37,-0.441833712,H__sapiens__1_-774031,query,NUP37,0.642856526,H__sapiens__1_-774031
0,AAAS,-0.391789113,H__sapiens__1_-774750,query,AAAS,0.675846626,H__sapiens__1_-774750
0,NUP85,-0.462047484,H__sapiens__1_-778398,query,NUP85,0.629992425,H__sapiens__1_-778398
0,NUP43,-0.471370454,H__sapiens__1_-777773,query,NUP43,0.624146318,H__sapiens__1_-777773
0,NUP107,-0.535095146,H__sapiens__1_-776652,query,NUP107,0.585613569,H__sapiens__1_-776652
0,NUP93,-0.401405138,H__sapiens__1_-775466,query,NUP93,0.669378815,H__sapiens__1_-775466
0,NUP210,-0.39763258,H__sapiens__1_-779292,query,NUP210,0.671908855,H__sapiens__1_-779292
0,NUP35,-0.396673069,H__sapiens__1_-783644,query,NUP35,0.672553869,H__sapiens__1_-783644
0,NUP62,-0.490485354,H__sapiens__1_-795021,query,NUP62,0.612329126,H__sapiens__1_-795021
0,POM121C,-0.084112089,H__sapiens__1_-826631,query,POM121C,0.919328204,H__sapiens__1_-826631
